###
# 0  --> technical stop, T = Tann
# 4  --> technical stop, T = Tann2
# 
# 1  --> beam commissioning
# 2  --> p-p collisions
# 3  --> Pb-Pb collisions
# 9  --> p-p collisions, for 4 days/month assume interfillTemp
# 91 --> p-p collisions, for 4 days/month assume Tann2
##### year 0 #####
0 0  0 0.25
0 1  1 0.25
0 2  1 0.25
0 3 91 0.25
0 4  2 0.25
0 5 91 0.25
0 6  2 0.25
0 7 91 0.25
0 8  2 0.25
0 9 91 0.25
0 10 3 0.25
0 11 0 0.25
##### year 1 #####
1 0  4 0.50    
1 1  0 0.50
1 2  1 0.50
1 3 91 0.50
1 4  2 0.50
1 5 91 0.50
1 6  2 0.50
1 7 91 0.50
1 8  2 0.50
1 9 91 0.50
1 10 3 0.50
1 11 0 0.50
##### year 2 #####
2 0  4 0.83     
2 1  0 0.83
2 2  1 0.83
2 3 91 0.83
2 4  2 0.83
2 5 91 0.83
2 6  2 0.83
2 7 91 0.83
2 8  2 0.83
2 9 91 0.83
2 10 3 0.83
2 11 0 0.83
##### year 3 #####
3 0  4 0.83
3 1  0 0.83 
3 2  1 0.83
3 3 91 0.83
3 4  2 0.83
3 5 91 0.83
3 6  2 0.83
3 7 91 0.83
3 8  2 0.83
3 9 91 0.83
3 10 3 0.83
3 11 0 0.83
##### year 4 #####
4 0  4 1       
4 1  4 1
4 2  4 1
4 3  4 1
4 4  4 1
4 5  4 1
4 6  4 1
4 7  4 1
4 8  4 1
4 9  4 1
4 10 4 1
4 11 4 1
##### year 5 #####
5 0  4 1       
5 1  4 1 
5 2  4 1
5 3  4 1
5 4  4 1
5 5  4 1
5 6  4 1
5 7  4 1
5 8  4 1
5 9  4 1
5 10 4 1
5 11 4 1
##### year 6 #####
6 0  0 1.0       
6 1  0 1.0
6 2  1 1.0
6 3  1 1.0
6 4  2 1.0
6 5 91 1.0
6 6  2 1.0
6 7 91 1.0
6 8  2 1.0
6 9 91 1.0
6 10 3 1.0
6 11 0 1.0
##### year 7 #####
7 0  4 1.2       
7 1  0 1.2
7 2  1 1.2
7 3 91 1.2
7 4  2 1.2 
7 5 91 1.2
7 6  2 1.2  
7 7 91 1.2
7 8  2 1.2
7 9 91 1.2
7 10 3 1.2
7 11 0 1.2
##### year 8 #####
8 0  4 1.2      
8 1  0 1.2
8 2  1 1.2
8 3 91 1.2
8 4  2 1.2
8 5 91 1.2
8 6  2 1.2
8 7 91 1.2
8 8  2 1.2
8 9 91 1.2
8 10 3 1.2
8 11 0 1.2
##### year 9 #####
9 0  4 1.2      
9 1  1 1.2
9 2  2 1.2
9 3 91 1.2
9 4  2 1.2
9 5 91 1.2
9 6  2 1.2
9 7 91 1.2
9 8  2 1.2
9 9 91 1.2
9 10 3 1.2
9 11 0 1.2
##### year 10 #####
10 0  4 1      
10 1  4 1
10 2  4 1
10 3  4 1
10 4  4 1
10 5  4 1
10 6  4 1
10 7  4 1
10 8  4 1
10 9  4 1
10 10 4 1
10 11 4 1
##### year 11 #####
11 0  0 1.0      
11 1  1 1.0
11 2  1 1.0
11 3 91 1.0
11 4  2 1.0
11 5 91 1.0
11 6  2 1.0
11 7 91 1.0
11 8  2 1.0
11 9 91 1.0
11 10 3 1.0
11 11 0 1.0
##### year 12 #####
12 0  4 1.2      
12 1  1 1.2
12 2  2 1.2
12 3 91 1.2
12 4  2 1.2
12 5 91 1.2
12 6  2 1.2
12 7 91 1.2
12 8  2 1.2
12 9 91 1.2
12 10 3 1.2
12 11 0 1.2
